browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,link,calibration
Chrome,84.0.4147.105,2560,1440,MacOS,en-US,2020-08-07_20:27:19,2020-08-07_13:27:19,https://www.testable.org/experiment/4629/283054/start,0.86

rowNo,type,stim1,stimFormat,ITI,responseType,responseOptions,trialText,object_shown,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,responseCode
181,test,goose_2,.png,"800",slider,0_10_1,How typical is this orientation?,goose,801,48,"16.68",968194,"8",2164,8
182,test,goose_3,.png,"800",slider,0_10_1,How typical is this orientation?,goose,801,48,"16.68",970629,"10",1628,10
183,test,goose_4,.png,"800",slider,0_10_1,How typical is this orientation?,goose,801,48,"16.68",973681,"10",2229,10
184,test,goose_5,.png,"800",slider,0_10_1,How typical is this orientation?,goose,801,48,"16.68",977880,"5",3375,5
185,test,drum_1,.png,"800",slider,0_10_1,How typical is this orientation?,drum,801,48,"16.68",982188,"5",3497,5
186,test,drum_2,.png,"800",slider,0_10_1,How typical is this orientation?,drum,801,48,"16.68",984927,"10",1932,10
187,test,drum_3,.png,"800",slider,0_10_1,How typical is this orientation?,drum,801,48,"16.68",987868,"1",2122,1
188,test,drum_4,.png,"800",slider,0_10_1,How typical is this orientation?,drum,801,48,"16.68",990318,"1",1634,1
189,test,drum_5,.png,"800",slider,0_10_1,How typical is this orientation?,drum,801,48,"16.68",996976,"10",5842,10
190,test,snake_1,.png,"800",slider,0_10_1,How typical is this orientation?,snake,801,48,"16.68",1001173,"9",3383,9
191,test,snake_2,.png,"800",slider,0_10_1,How typical is this orientation?,snake,801,48,"16.68",1005064,"5",3071,5
192,test,snake_3,.png,"800",slider,0_10_1,How typical is this orientation?,snake,801,48,"16.68",1007870,"10",1989,10
193,test,snake_4,.png,"800",slider,0_10_1,How typical is this orientation?,snake,801,48,"16.68",1010144,"10",1465,10
194,test,snake_5,.png,"800",slider,0_10_1,How typical is this orientation?,snake,801,48,"16.68",1013590,"9",2624,9
195,test,crab_1,.png,"800",slider,0_10_1,How typical is this orientation?,crab,801,48,"16.68",1018284,"7",3882,7
196,test,crab_2,.png,"800",slider,0_10_1,How typical is this orientation?,crab,801,48,"16.68",1021248,"10",2142,10
197,test,crab_3,.png,"800",slider,0_10_1,How typical is this orientation?,crab,801,48,"16.68",1024388,"3",2329,3
198,test,crab_4,.png,"800",slider,0_10_1,How typical is this orientation?,crab,801,48,"16.68",1026983,"10",1788,10
199,test,crab_5,.png,"800",slider,0_10_1,How typical is this orientation?,crab,801,48,"16.68",1029899,"10",2100,10
200,test,penguin_1,.png,"800",slider,0_10_1,How typical is this orientation?,penguin,801,48,"16.68",1048574,"10",17858,10
201,test,penguin_2,.png,"800",slider,0_10_1,How typical is this orientation?,penguin,801,48,"16.68",1052739,"7",3358,7
202,test,penguin_3,.png,"800",slider,0_10_1,How typical is this orientation?,penguin,801,48,"16.68",1055896,"8",2344,8
203,test,penguin_4,.png,"800",slider,0_10_1,How typical is this orientation?,penguin,801,48,"16.68",1058490,"10",1785,10
204,test,penguin_5,.png,"800",slider,0_10_1,How typical is this orientation?,penguin,801,48,"16.68",1061334,"6",2029,6
205,test,keyboard_1,.png,"800",slider,0_10_1,How typical is this orientation?,keyboard,801,48,"16.68",1064601,"10",2460,10
206,test,keyboard_2,.png,"800",slider,0_10_1,How typical is this orientation?,keyboard,801,48,"16.68",1067848,"2",2437,2
207,test,keyboard_3,.png,"800",slider,0_10_1,How typical is this orientation?,keyboard,801,48,"16.68",1071355,"9",2691,9
208,test,keyboard_4,.png,"800",slider,0_10_1,How typical is this orientation?,keyboard,801,48,"16.68",1075954,"7",3788,7
209,test,keyboard_5,.png,"800",slider,0_10_1,How typical is this orientation?,keyboard,801,48,"16.68",1080518,"9",3747,9
210,test,drill_1,.png,"800",slider,0_10_1,How typical is this orientation?,drill,801,48,"16.68",1083796,"10",2455,10
211,test,drill_2,.png,"800",slider,0_10_1,How typical is this orientation?,drill,801,48,"16.68",1087295,"10",2685,10
212,test,drill_3,.png,"800",slider,0_10_1,How typical is this orientation?,drill,801,48,"16.68",1089979,"10",1866,10
213,test,drill_4,.png,"800",slider,0_10_1,How typical is this orientation?,drill,799,48,"16.64",1094296,"6",3499,6
214,test,drill_5,.png,"800",slider,0_10_1,How typical is this orientation?,drill,801,48,"16.68",1097052,"10",1934,10
215,test,record_player_1,.png,"800",slider,0_10_1,How typical is this orientation?,record_player,801,48,"16.68",1100561,"10",2690,10
216,test,record_player_2,.png,"800",slider,0_10_1,How typical is this orientation?,record_player,801,48,"16.68",1105158,"7",3786,7
217,test,record_player_3,.png,"800",slider,0_10_1,How typical is this orientation?,record_player,801,48,"16.68",1108268,"5",2290,5
218,test,record_player_4,.png,"800",slider,0_10_1,How typical is this orientation?,record_player,801,48,"16.68",1118489,"8",9409,8
219,test,record_player_5,.png,"800",slider,0_10_1,How typical is this orientation?,record_player,801,48,"16.68",1146471,"9",27166,9
220,test,bicycle_1,.png,"800",slider,0_10_1,How typical is this orientation?,bicycle,801,48,"16.68",1149788,"10",2494,10
221,test,bicycle_2,.png,"800",slider,0_10_1,How typical is this orientation?,bicycle,801,48,"16.68",1152695,"10",2098,10
222,test,bicycle_3,.png,"800",slider,0_10_1,How typical is this orientation?,bicycle,801,48,"16.68",1155212,"10",1695,10
223,test,bicycle_4,.png,"800",slider,0_10_1,How typical is this orientation?,bicycle,799,48,"16.64",1159018,"6",3001,6
224,test,bicycle_5,.png,"800",slider,0_10_1,How typical is this orientation?,bicycle,801,48,"16.68",1162749,"10",2911,10
225,test,laptop_1,.png,"800",slider,0_10_1,How typical is this orientation?,laptop,801,48,"16.68",1167212,"7",3654,7
226,test,laptop_2,.png,"800",slider,0_10_1,How typical is this orientation?,laptop,801,48,"16.68",1170432,"10",2404,10
